family,instance,entry_name,entry_tracker_id,entry_api_key,page_no,sample_position,tracker_issue_id,tracker_issue_key,title,issue_url,api_url,issue_type_raw,state_raw,resolution_raw,close_reason_raw,reporter_raw,assignee_raw,is_closed,needs_review,is_pull_request,is_private_restricted,labels,created_at_tracker,updated_at_tracker,closed_at,body_raw
github,github.com,llvm/llvm-project,1155608,llvm/llvm-project,1,1,184738,llvm/llvm-project#184738,[libc][math][NFC] Fix dependency for acospif,https://github.com/llvm/llvm-project/pull/184738,https://api.github.com/repos/llvm/llvm-project/issues/184738,pull_request,closed,,,bassiounix,,True,False,True,False,libc,2026-03-05T05:03:28+00:00,2026-03-05T05:23:45+00:00,2026-03-05T05:23:43+00:00,
github,github.com,llvm/llvm-project,1155608,llvm/llvm-project,1,2,184734,llvm/llvm-project#184734,[clang-tidy][NFC] Remove some more regex hacks to match full lines in tests,https://github.com/llvm/llvm-project/pull/184734,https://api.github.com/repos/llvm/llvm-project/issues/184734,pull_request,closed,,,localspook,,True,False,True,False,,2026-03-05T04:18:18+00:00,2026-03-05T04:31:29+00:00,2026-03-05T04:31:08+00:00,Updates a few more files I missed in #162293.
github,github.com,llvm/llvm-project,1155608,llvm/llvm-project,1,3,184703,llvm/llvm-project#184703,[AMDGPU] Optimize S_SETREG_IMM32_B32 piggybacking by treating it as a mode scope boundary,https://github.com/llvm/llvm-project/pull/184703,https://api.github.com/repos/llvm/llvm-project/issues/184703,pull_request,closed,,,shiltian,,True,False,True,False,backend:AMDGPU,2026-03-04T23:25:01+00:00,2026-03-05T00:25:19+00:00,2026-03-05T00:19:24+00:00,"When `handleSetregMode` encounters an `S_SETREG_IMM32_B32` with `Size <= 12`, the instruction's `imm32[12:19]` bits are ""free"" for VGPR MSB piggybacking. Previously, the old mode was eagerly written into these bits, but the `Rewritten` guard in `setMode` would then block subsequent piggybacking when the next VGPR instruction needed a different mode, causing an unnecessary `S_SET_VGPR_MSB` to be emitted.

Model the `S_SETREG_IMM32_B32` as the boundary of the old mode's control range: reset `CurrentMode` and clear `bits[12:19]` to zero. This lets the next `setMode` call freely piggyback the required mode without triggering `Rewritten`."
github,github.com,llvm/llvm-project,1155608,llvm/llvm-project,1,4,184701,llvm/llvm-project#184701,[dsymutil] Add DebugMapObjectFilter destructor,https://github.com/llvm/llvm-project/pull/184701,https://api.github.com/repos/llvm/llvm-project/issues/184701,pull_request,closed,,,EmmanuelAC1,,True,False,True,False,debuginfo,2026-03-04T23:11:00+00:00,2026-03-05T00:34:18+00:00,2026-03-05T00:34:18+00:00,
github,github.com,llvm/llvm-project,1155608,llvm/llvm-project,1,5,184699,llvm/llvm-project#184699,[CIR][NFCI] Fixup some test regressions due to OGCG changes,https://github.com/llvm/llvm-project/pull/184699,https://api.github.com/repos/llvm/llvm-project/issues/184699,pull_request,closed,,,erichkeane,,True,False,True,False,"clang,ClangIR",2026-03-04T23:08:18+00:00,2026-03-04T23:33:30+00:00,2026-03-04T23:33:29+00:00,"Discovered during CI in a different patch, 3 tests started failing for unknown reasons due to some very mild changes to the IR, but only in 'classic' codgen parts of the tests.  These tests were overly specific for no good reason, so this patch just fixes that."
github,github.com,llvm/llvm-project,1155608,llvm/llvm-project,1,6,184698,llvm/llvm-project#184698,[hexagon] Attempting to emit S6_rol_i_p instruction but the Feature_HasV60 predicate(s) are not met,https://github.com/llvm/llvm-project/issues/184698,https://api.github.com/repos/llvm/llvm-project/issues/184698,issue,closed,completed,completed,androm3da,androm3da,True,False,False,False,"backend:Hexagon,release:backport",2026-03-04T23:02:13+00:00,2026-03-04T23:10:20+00:00,2026-03-04T23:10:12+00:00,"This program reduced from [Highway](https://github.com/google/highway/) fails with clang built from 22.1.0.

```c
// s6_rol_bug.c
#include <stdint.h>
__attribute__((noinline))
uint64_t rotate_left_8(uint64_t val) {
    return (val << 8) | (val >> 56);
}
int main(void) {
    return (int)rotate_left_8(0x123456789ABCDEF0ULL);
}
```"
github,github.com,llvm/llvm-project,1155608,llvm/llvm-project,1,7,184694,llvm/llvm-project#184694,[DebugInfo] Don't match wrong NULL in CHECK lines of dwarf5-debug-info-static-member.ll,https://github.com/llvm/llvm-project/pull/184694,https://api.github.com/repos/llvm/llvm-project/issues/184694,pull_request,closed,,,dzhidzhoev,,True,False,True,False,"debuginfo,skip-precommit-approval",2026-03-04T22:37:50+00:00,2026-03-04T22:38:09+00:00,2026-03-04T22:38:08+00:00,"Fixes failure on clang-ppc64le-rhel buildbot (https://lab.llvm.org/buildbot/#/builders/145/builds/13080) after #184219.

On ppc64le, children are not produced for DW_TAG_subprogram ""main"" in this test. Therefore, dwarfdump doesn't print NULL after this tag. On other platforms (AArch64/X86), DW_TAG_subprogram has DW_TAG_variable ""instance_C"", which should not be matched by the check lines.

Loosened the check lines (turned CHECK-NEXT into CHECK) to make them work for all mentioned platforms."
github,github.com,llvm/llvm-project,1155608,llvm/llvm-project,1,8,184690,llvm/llvm-project#184690,[LLDB] Skip linker symbols test on Windows and MacOS.,https://github.com/llvm/llvm-project/pull/184690,https://api.github.com/repos/llvm/llvm-project/issues/184690,pull_request,closed,,,cmtice,,True,False,True,False,lldb,2026-03-04T22:13:40+00:00,2026-03-04T23:03:58+00:00,2026-03-04T23:03:57+00:00,"The test was only intended to run on linux.

Currently it's failing on the lldb-x86_64-win builder: https://lab.llvm.org/buildbot/#/builders/211/builds/6741"
github,github.com,llvm/llvm-project,1155608,llvm/llvm-project,1,9,184688,llvm/llvm-project#184688,[llvm][Support] Make createUniquePath require at least one wildcard marker,https://github.com/llvm/llvm-project/pull/184688,https://api.github.com/repos/llvm/llvm-project/issues/184688,pull_request,closed,,,jroelofs,,True,False,True,False,"lldb,llvm:support",2026-03-04T21:52:48+00:00,2026-03-05T05:46:16+00:00,2026-03-04T23:59:38+00:00,"The API was a bit easy to accidentally mis-use, as it silently accepted Model strings without any randomness marker characters (`%`), which results in a unique path that's not at all unique.  To avoid this foot-gun, we now assert that the model contains at least one, and update all the broken usages accordingly.

rdar://170349565"
github,github.com,llvm/llvm-project,1155608,llvm/llvm-project,1,10,184686,llvm/llvm-project#184686,[CIR] Upstream global variable replacement,https://github.com/llvm/llvm-project/pull/184686,https://api.github.com/repos/llvm/llvm-project/issues/184686,pull_request,closed,,,andykaylor,,True,False,True,False,"clang,ClangIR",2026-03-04T20:46:10+00:00,2026-03-04T21:50:58+00:00,2026-03-04T21:50:55+00:00,"This change upstreams the CIR implementation of global variable replacement. When we get a call to get or create a global variable using a type that does not match the previous type for a variable of the same name, we need to replace the old definition with the new one. In classic codegen that was as simple as replaceAllUses+eraseFromParent, but in CIR because we have typed pointers, we need to visit the uses and update them with bitcasts to reflect the new type."
